,day,date,susceptible,infected,recovered
28,-11,2020-03-19,5004322.663985849,15923.03936417012,5980.296649980706
29,-10,2020-03-20,5000190.534326155,18917.809069280724,7117.656604564286
30,-9,2020-03-21,4995285.296603716,22471.774715342468,8468.92868094148
31,-8,2020-03-22,4989464.259904276,26687.68464940165,10074.055446323086
32,-7,2020-03-23,4982559.199514905,31686.481849529097,11980.31863556606
33,-6,2020-03-24,4974372.117191069,37610.24404125528,14243.638767675278
34,-5,2020-03-25,4964670.433977364,44625.48125201473,16930.08477062209
35,-4,2020-03-26,4953181.598643712,52926.782210522186,20117.619145765995
36,-3,2020-03-27,4939587.12460581,62740.77180481497,23898.10358937472
37,-2,2020-03-28,4923516.114483459,74330.2982268225,28379.58728971865
38,-1,2020-03-29,4904538.40007265,87998.7056214301,33688.89430592026
39,0,2020-03-30,4882157.523551946,104093.96031203197,39974.51613602241
40,1,2020-03-31,4863973.537973588,114842.66301095887,47409.79901545327
41,2,2020-04-01,4843986.60221316,126626.55141346104,55612.8463733789
42,3,2020-04-02,4822039.384531865,139529.01542236685,64657.600045768995
43,4,2020-04-03,4797965.451868034,153636.58984174163,74623.95829022376
44,5,2020-04-04,4771589.779836651,169038.21974157303,85598.00042177674
45,6,2020-04-05,4742729.551123534,185824.28990171943,97672.15897474623
46,7,2020-04-06,4711195.294274755,204085.38318609082,110945.32253915476
47,8,2020-04-07,4676792.416912648,223910.73317776195,125522.84990958979
48,9,2020-04-08,4639323.187251199,245386.3390408003,141516.47370800137
49,10,2020-04-09,4598589.214590142,268592.71605608537,159044.0693537728
50,11,2020-04-10,4554394.472289955,293602.2643522658,178229.2633577789
51,12,2020-04-11,4506548.8945673,320476.25176404463,199200.85366865498
52,13,2020-04-12,4454872.560335644,349261.4251554121,222092.0145089439
53,14,2020-04-13,4399200.452443235,379986.28839386307,247039.2591629019
54,15,2020-04-14,4339387.748556987,412657.1145376919,274181.1369053207
55,16,2020-04-15,4275315.5606736895,447253.79423972586,303656.6450865844
56,17,2020-04-16,4206896.994651012,483725.6606738517,335603.3446751362
57,18,2020-04-17,4134083.351084682,521987.4713349065,370155.1775804113
58,19,2020-04-18,4056870.2373433905,561915.7656951334,407439.99696147605
59,20,2020-04-19,3975303.311896413,603345.8507353155,447576.8373682713
60,21,2020-04-20,3889483.3416782296,646069.6887581191,490672.969563651
61,22,2020-04-21,3799570.2274051043,689834.9681199504,536820.8044749452
62,23,2020-04-22,3705785.6469861344,734345.6222446384,586094.7307692274
63,24,2020-04-23,3608413.989292843,779264.0212061701,638547.9895009872
64,25,2020-04-24,3507801.3036682415,824214.9910303307,694209.705301428
65,26,2020-04-25,3404352.075905999,868791.7194332636,753082.2046607373
66,27,2020-04-26,3298523.7564289127,912563.4875222598,815138.7560488275
67,28,2020-04-27,3190819.1041087154,955085.033590867,880321.8623004175
68,29,2020-04-28,3081776.5584494346,995907.2197079433,948542.2218426223
69,30,2020-04-29,2971958.9992936566,1034588.5488845825,1019678.4518217611
70,31,2020-04-30,2861941.380869421,1070706.9852456334,1093577.6338849457
71,32,2020-05-01,2752297.820716884,1103871.4750234825,1170056.7042596338
72,33,2020-05-02,2643588.771897371,1133732.5613413183,1248904.666761311
73,34,2020-05-03,2536348.9023135225,1159991.533686501,1329885.5639999765
74,35,2020-05-04,2431076.2479851088,1182407.6498944503,1412742.102120441
75,36,2020-05-05,2328223.104471505,1200803.104129879,1497199.791398616
76,37,2020-05-06,2228188.9846599177,1215065.5736464746,1582971.441693607
77,38,2020-05-07,2131315.8177345134,1225148.3424542742,1669761.8398112128
78,39,2020-05-08,2037885.4101426222,1231068.1541565738,1757272.4357008033
79,40,2020-05-09,1948119.0500303095,1232901.0746862749,1845205.8752834161
80,41,2020-05-10,1862179.0236000891,1230776.7386389042,1933270.2377610072
81,42,2020-05-11,1780171.7321040812,1224871.4059464184,2021182.8619495
82,43,2020-05-12,1702152.0537780714,1215400.2695619697,2108673.6766599584
83,44,2020-05-13,1628128.5837133068,1202609.4346580228,2195487.981628671
84,45,2020-05-14,1558069.4010902229,1186767.943376962,2281388.6555328155
85,46,2020-05-15,1491908.0502336419,1168160.155420903,2366157.7943454557
86,47,2020-05-16,1429549.4719924557,1147078.722560596,2449597.805446949
87,48,2020-05-17,1370875.67795241,1123818.3221320277,2531531.999915563
88,49,2020-05-18,1315751.0161346067,1098670.246654686,2611804.7372107077
89,50,2020-05-19,1264026.9288268099,1071917.887772862,2690281.183400328
90,51,2020-05-20,1215546.1483085838,1043833.1048787409,2766846.746812675
91,52,2020-05-21,1170146.3131114019,1014673.4325845842,2841406.2543040137
92,53,2020-05-22,1127663.015837957,984680.0561019874,2913882.9280600552
93,54,2020-05-23,1087932.3139588032,954076.4682595707,2984217.2177816257
94,55,2020-05-24,1050792.748390503,923067.7146664729,3052365.5369430236
