day,hosp,icu,vent,scenario
104,0.0,0.0,0.0,test_soc_20
105,0.0,0.0,0.0,test_soc_20
106,0.0,0.0,0.0,test_soc_20
107,0.0,0.0,0.0,test_soc_20
108,0.0,0.0,0.0,test_soc_20
109,0.0,0.0,0.0,test_soc_20
110,0.0,0.0,0.0,test_soc_20
111,0.0,0.0,0.0,test_soc_20
112,0.0,0.0,0.0,test_soc_20
113,0.0,0.0,0.0,test_soc_20
114,0.0,0.0,0.0,test_soc_20
115,0.0,0.0,0.0,test_soc_20
116,0.0,0.0,0.0,test_soc_20
117,0.0,0.0,0.0,test_soc_20
118,0.0,0.0,0.0,test_soc_20
119,0.0,0.0,0.0,test_soc_20
120,0.0,0.0,0.0,test_soc_20
0,0.0,0.0,0.0,test_soc_25
1,34.0,14.0,7.0,test_soc_25
2,71.0,29.0,15.0,test_soc_25
3,110.0,45.0,23.0,test_soc_25
4,152.0,62.0,32.0,test_soc_25
5,197.0,80.0,41.0,test_soc_25
6,245.0,100.0,51.0,test_soc_25
7,297.0,121.0,62.0,test_soc_25
8,318.0,143.0,73.0,test_soc_25
9,340.0,167.0,85.0,test_soc_25
10,364.0,178.0,98.0,test_soc_25
11,389.0,190.0,105.0,test_soc_25
12,416.0,203.0,112.0,test_soc_25
13,445.0,217.0,120.0,test_soc_25
14,475.0,232.0,128.0,test_soc_25
15,507.0,247.0,137.0,test_soc_25
16,541.0,263.0,146.0,test_soc_25
17,577.0,281.0,155.0,test_soc_25
18,615.0,299.0,165.0,test_soc_25
19,655.0,319.0,176.0,test_soc_25
20,696.0,340.0,187.0,test_soc_25
21,740.0,362.0,199.0,test_soc_25
22,786.0,385.0,211.0,test_soc_25
23,834.0,409.0,224.0,test_soc_25
24,884.0,434.0,237.0,test_soc_25
25,936.0,460.0,251.0,test_soc_25
26,990.0,487.0,266.0,test_soc_25
27,1047.0,515.0,281.0,test_soc_25
28,1105.0,544.0,297.0,test_soc_25
29,1165.0,574.0,313.0,test_soc_25
30,1227.0,604.0,330.0,test_soc_25
31,1290.0,635.0,347.0,test_soc_25
32,1355.0,667.0,365.0,test_soc_25
33,1420.0,700.0,383.0,test_soc_25
34,1485.0,733.0,401.0,test_soc_25
35,1551.0,766.0,419.0,test_soc_25
36,1617.0,800.0,437.0,test_soc_25
37,1681.0,833.0,456.0,test_soc_25
38,1744.0,865.0,474.0,test_soc_25
