day,hospitalized,icu,ventilated
97,36580.51007414471,10974.15302224341,7316.102014828942
98,36602.36009372562,10980.708028117686,7320.472018745125
99,36622.95464310848,10986.886392932543,7324.590928621697
100,36642.369166093566,10992.710749828067,7328.473833218712
101,36660.67424602483,10998.202273807447,7332.134849204965
102,36677.93594946962,11003.380784840885,7335.587189893924
103,36694.216143008714,11008.264842902614,7338.843228601742
104,36709.572785424796,11012.871835627437,7341.914557084958
105,36724.06019737447,11017.21805921234,7344.812039474893
106,36737.72931044293,11021.318793132878,7347.545862088586
107,36750.62789731162,11025.188369193487,7350.125579462324
108,36762.800784614476,11028.840235384341,7352.560156922895
109,36774.29004991858,11032.287014975574,7354.858009983715
110,36785.135204137005,11035.5405612411,7357.027040827401
111,36795.37336056592,11038.612008169777,7359.0746721131845
112,36805.03939163236,11041.511817489707,7361.007878326471
113,36814.166074343695,11044.249822303105,7362.833214868738
114,36822.784225342606,11046.83526760278,7364.5568450685205
115,36830.92282639261,11049.276847917785,7366.184565278523
116,36838.609141047506,11051.582742314251,7367.721828209501
117,36845.868823192846,11053.760646957853,7369.173764638569
118,36852.726018089,11055.8178054267,7370.545203617799
119,36859.203456490875,11057.761036947262,7371.840691298175
120,36865.3225423713,11059.596762711388,7373.06450847426
